dataset	method	Accuracy	parameters	Precision	parameters	Recall	parameters	Specificity	parameters	G-mean	parameters	F-mean	parameters	AUC	parameters
libras	SVM	0.9467505948935623	0.231,10.000	1.0	0.231,1.000	0.7447619047619047	0.035,1000.000	1.0	0.010,0.100	0.8498771574039334	0.231,10.000	0.8257695713546737	0.231,10.000	0.9713663469017371	0.433,1.000
Breast	SVM	0.7822510822510822	0.433,10.000	0.77	2.848,10000.000	0.7	5.337,10000.000	1.0	0.010,0.100	0.6948145482512544	2.848,10000.000	0.6702669717772692	2.848,10000.000	0.9372448979591838	0.231,10000.000
ecoli	SVM	0.9580240508686513	10.000,1.000	0.8977777777777778	10.000,0.100	0.9018181818181817	0.035,10000.000	1.0	0.010,0.100	0.9341448365718277	10.000,1.000	0.8739457338999672	10.000,1.000	0.9533139667350193	0.433,10000.000
iris	SVM	0.9666666666666668	0.066,1000.000	0.9666666666666666	1.520,10.000	0.9800000000000001	0.010,10000.000	1.0	0.010,0.100	0.9635579847062651	0.066,1000.000	0.9500721500721501	0.066,1000.000	0.998	0.066,1000.000
liver	SVM	0.7333333333333333	0.019,10000.000	0.804978354978355	0.433,10.000	0.6137931034482759	5.337,10000.000	1.0	0.010,0.100	0.6967769351689219	0.066,1000.000	0.6431749101961868	0.066,1000.000	0.7644827586206897	0.123,1000.000
yeast	SVM	0.9683295559134486	10.000,10.000	0.8	10.000,10.000	0.33272727272727276	10.000,10000.000	1.0	0.010,0.100	0.5455456095802556	10.000,10000.000	0.3560021265284424	1.520,10000.000	0.8627886747398943	2.848,100.000
wine	SVM	0.9666495066495067	1.520,1.000	1.0	0.035,1.000	0.959047619047619	1.520,1.000	1.0	0.010,0.100	0.9647215878307753	1.520,1.000	0.9580952380952381	1.520,1.000	0.9987012987012986	2.848,1.000
heart	SVM	0.8481481481481481	0.035,10.000	0.9184848484848486	0.066,0.100	0.8083333333333333	0.123,10.000	1.0	0.010,0.100	0.8430754131074734	0.035,10.000	0.8249202363646662	0.035,10.000	0.9122222222222222	0.066,10.000
haberman	SVM	0.764727657324167	2.848,10.000	0.71	5.337,1.000	0.3970588235294118	10.000,10000.000	1.0	0.010,0.100	0.5394897909361167	0.811,10000.000	0.4081512357374426	0.811,10000.000	0.7641013071895426	0.433,1.000
glass	SVM	0.8043189368770765	5.337,100.000	0.7557894736842106	5.337,100.000	0.7285714285714284	10.000,1.000	1.0	0.010,0.100	0.7684059097933088	5.337,100.000	0.7103137254901961	5.337,100.000	0.8718859957776214	5.337,100.000
Vehicle	SVM	0.9834596323736596	0.811,100.000	1.0	5.337,0.100	0.9848717948717949	0.811,10.000	1.0	0.010,0.100	0.9823380626686458	0.811,10.000	0.965333342843383	0.811,100.000	0.998871198568873	0.433,100.000
dataset	method	Accuracy	parameters	Precision	parameters	Recall	parameters	Specificity	parameters	G-mean	parameters	F-mean	parameters	AUC	parameters
libras	SMOTE	0.9523843977104637	0.231,10000.000	1.0	0.811,0.100	0.7733333333333333	0.231,10.000	1.0	0.811,0.100	0.8717756527078036	0.231,10000.000	0.85383974679327	0.231,10000.000	0.9731051767349408	0.433,1.000
Breast	SMOTE	0.8025974025974026	0.231,1000.000	0.7909090909090909	0.433,10000.000	1.0	0.010,1.000	0.8142857142857143	0.433,10000.000	0.7895584684398125	0.231,1000.000	0.7593939393939395	0.231,1000.000	0.9663265306122449	0.811,100.000
ecoli	SMOTE	0.9520964695240375	10.000,0.100	0.8314652014652015	10.000,0.100	0.9418181818181818	0.010,0.100	0.9610275689223057	10.000,0.100	0.9306767675287217	10.000,0.100	0.8607780320366132	10.000,0.100	0.9555006835269992	5.337,10.000
iris	SMOTE	0.9666666666666668	0.811,10.000	0.9428571428571428	2.848,10.000	1.0	0.035,100.000	0.9600000000000002	1.520,1000.000	0.9742626629382162	2.848,1.000	0.9548654244306419	2.848,1.000	0.999	0.811,10.000
liver	SMOTE	0.7333333333333333	0.811,10.000	0.6930108932461874	0.231,100.000	0.9586206896551724	0.010,10.000	0.785	0.231,100.000	0.7221078944877398	0.811,10.000	0.6804825347066726	0.811,10.000	0.7631034482758621	0.811,10.000
yeast	SMOTE	0.9487871794918774	5.337,10000.000	0.34349924585218705	5.337,10000.000	0.8636363636363636	0.010,0.100	0.9706951585000365	5.337,10000.000	0.8474403433028221	0.231,0.100	0.35423288355822086	2.848,10000.000	0.9123240174459687	5.337,0.100
wine	SMOTE	0.9666495066495067	1.520,1.000	1.0	2.848,0.100	0.959047619047619	0.019,1.000	1.0	2.848,0.100	0.9647215878307753	1.520,1.000	0.9580952380952381	1.520,1.000	0.9987012987012986	2.848,1.000
heart	SMOTE	0.8407407407407408	0.010,100.000	0.8251241512111077	0.035,1.000	0.8416666666666666	1.520,0.100	0.9	10.000,1.000	0.837717029116928	0.035,1.000	0.8202528522972556	0.035,1.000	0.9113888888888889	0.019,10.000
haberman	SMOTE	0.76795346377578	0.035,10.000	0.7309523809523808	0.066,0.100	0.6477941176470589	0.811,10000.000	0.968888888888889	0.066,0.100	0.6274825590232834	0.035,10000.000	0.4881777650621082	0.035,10000.000	0.7736437908496733	0.433,10000.000
glass	SMOTE	0.7945736434108528	5.337,1000.000	0.7581318681318682	5.337,1000.000	1.0	0.010,0.100	0.8689655172413794	5.337,1000.000	0.808186123460211	1.520,10.000	0.7585905220147403	1.520,10.000	0.8637931034482758	2.848,10.000
Vehicle	SMOTE	0.9834526710092322	0.811,100.000	0.9651094434021263	1.520,100.000	1.0	0.010,0.100	0.9891830649970185	1.520,100.000	0.9787759172062108	0.231,1000.000	0.9652752967475271	0.811,100.000	0.9989432518386007	0.811,100.000
